url_id,total_meters,price
299104684,32.1,10800000
270807138,32.3,10850000
293999939,35.0,10800000
300121348,36.1,10800000
299893982,31.0,10990000
301832224,33.0,10900000
299098702,35.4,11000000
300194405,42.5,11000000
300248961,39.0,11000000
293783040,32.5,11000000
301369101,35.0,11100000
299676688,38.7,11150000
300564638,44.5,11135000
301964818,31.0,11200000
298549786,30.6,11200000
295373032,38.0,11249999
300749553,41.2,11200000
299151425,45.0,11200000
301961105,41.7,11400000
299944351,38.1,11400000
294946395,39.5,11300000
294166690,38.2,11400000
299987453,37.7,11300000
301167819,36.0,11300000
301355980,39.4,11300000
301637133,39.2,12700000
300247136,46.0,12700000
299739991,52.4,12800000
297249360,36.0,12800000
301756918,36.0,12800000
298414628,38.0,12799999
301809321,32.3,12800000
279590376,52.4,12750000
300327603,40.8,12800000
299151451,46.0,12990000
298273403,32.0,12900000
301715078,33.0,12990000
301303725,38.2,12900000
301299139,33.0,12980000
300320366,38.4,13000000
295091947,52.3,13000000
299106073,32.7,13000000
301455349,33.0,13000000
300580295,38.0,13100000
300111500,40.7,13200000
299098407,40.0,13150000
301493058,39.7,13250000
301453937,38.0,13200000
296065432,36.2,13300000
301599173,32.4,13304700
297987258,27.1,13300000
299644131,38.8,13300000
301872932,40.1,13300000
301174660,35.5,14400000
301789490,28.4,14500000
297728942,32.1,14500000
295879334,48.0,14400000
301930577,39.8,14600000
299166952,27.0,14700000
298878638,40.2,14900000
298678058,39.0,14890000
301965360,31.0,14990000
298517952,41.0,14999000
298826127,28.1,15000000
301839183,39.6,15000000
300072249,49.1,15000000
301851653,39.2,15300000
299945901,46.3,15500000
301676940,48.1,15500000
301776565,36.0,15500000
299396164,35.0,15549000
294632911,35.0,15500000
301677364,31.7,15600000
301356569,32.7,15800000
300372258,31.0,15900000
301445555,32.2,16000000
301646666,38.9,16000000
301427703,40.0,16000000
300320633,53.0,16050000
301154354,30.0,16200000
301762564,31.7,16200000
300789277,35.0,16500000
298749656,34.3,16500000
301515263,43.9,16500000
301013159,39.0,16700000
299997609,33.5,17000000
299050943,34.0,16900000
301564562,36.0,17000000
301871305,45.7,16900000
299568116,35.3,17300000
299436748,40.0,17400000
299675284,47.0,17500000
301064322,38.8,17500000
278505753,38.0,17600000
294867977,39.3,17800000
301028633,39.8,18000000
301451607,42.0,18250000
301666811,40.6,18500000
301045303,53.1,18585000
300650666,45.3,18500000
301647132,41.0,18500000
301646360,43.0,18500000
295544053,39.0,18500000
298883995,32.8,18500000
298018047,40.0,18500000
299629196,39.3,18500000
300571753,43.1,19500000
299697358,40.9,19500000
295391249,41.7,19990000
300805348,40.0,19990000
299119616,45.6,20000000
298491517,35.9,20000000
286709271,45.0,20000000
298117075,43.0,20500000
301314169,47.0,20500000
301880026,62.0,20900000
301045006,38.78,20990000
300134952,45.0,21000000
300572581,40.0,21500000
301392787,37.0,21800000
300995772,41.0,21990000
301587467,45.1,22000000
301680484,44.8,22000000
289439918,40.3,22399990
301104641,33.9,22700000
301582359,46.0,22950000
299724774,45.0,23700000
301779237,55.9,23800000
300245372,31.2,24500000
299166059,42.0,25790000
301366489,47.2,26077000
299712730,48.3,26000000
300890661,39.9,26000000
297303079,45.0,28900000
301356448,47.0,28800000
299727973,42.0,29900000
299460844,16.0,5500000
298790582,16.3,5500000
301917400,29.9,5500000
298465903,37.6,5500000
298277022,41.5,5500000
300433015,21.0,5500000
299105794,34.2,5500000
301160669,15.9,5500000
296573878,35.0,5500000
300288478,28.0,5600000
299777079,33.4,5600000
296522814,15.0,5600000
300728874,40.0,5600000
294973123,22.7,5649000
296484240,19.0,5699000
294230460,23.1,5699999
296486978,20.7,5700000
297971520,43.0,5700000
301741509,38.1,5725170
296939878,16.2,5700000
277531258,27.6,5700000
299880337,19.4,5723000
295055602,35.7,5700000
299095001,18.8,5760000
294972720,23.0,5799999
300737127,30.3,5800000
275040150,38.4,5800000
297382103,42.0,5800000
291263455,24.1,5880000
292311184,31.3,5890000
301622026,22.6,5899999
297250645,43.7,5970000
301953593,30.0,5990000
297954187,30.0,5900000
297496940,40.0,5900000
297089589,30.4,5999000
301544259,13.0,5900000
301230972,40.0,5900000
301322263,20.0,5950000
295982641,19.2,5990000
290999760,20.0,5999999
301562663,22.1,6000000
301497888,30.1,6000000
300337168,28.0,6000000
301504018,48.8,6000000
288557638,21.0,6089000
298277557,46.5,6080000
298278053,46.5,6080000
298296912,46.47,6050000
298062136,30.1,6050000
299016463,26.8,6128125
298014479,34.2,6100000
299691408,13.8,6100000
298358914,46.5,6100000
298104305,46.47,6100000
256835034,34.2,6100000
298819918,33.4,6100000
295108777,29.7,6100000
300928173,38.8,6100000
293493990,27.0,6128125
299482165,52.8,6150000
301848086,20.0,6199000
297665778,26.8,6182125
300533607,30.1,6190000
299376630,30.9,6150000
301873285,28.0,6200000
301431563,42.5,6250000
297948597,41.5,6200000
296475412,15.0,6200000
299562394,27.0,6219000
298375255,11.0,6290000
290839049,34.0,6299000
293475516,34.0,6200000
285374995,29.5,6299000
297217531,30.7,6200000
298038792,38.8,6300000
298986136,40.4,6300000
297145162,19.7,6300000
301503149,35.0,6300000
299025994,27.0,6333000
297788536,19.0,6300000
294946828,35.4,6300000
298451289,35.4,6300000
298484887,18.0,6300000
295670716,20.0,6307760
284009990,13.0,6300000
300308227,25.0,6350000
296478432,43.1,6350000
284608380,32.7,6350000
279800832,30.0,6370000
286210831,31.1,6350000
298340835,35.3,6400000
301314881,35.4,6400000
298022502,49.1,6400000
300184257,24.0,6400000
299587797,32.5,6400000
300759585,34.7,6500000
301959731,13.0,6500000
291279672,35.5,6500000
301291628,35.6,6500000
301612398,33.0,6500000
299890881,22.7,6500000
294074358,32.0,6500000
284286376,45.9,6500000
301436421,38.7,6500000
299776751,37.0,6500000
301376083,23.0,6500000
301053065,26.0,6500000
294948955,18.2,6500000
297248368,30.0,6500000
299237703,31.5,6500000
300934735,37.4,6500000
301358657,41.1,6550000
297989659,36.0,6599999
301503681,26.3,6600000
299028339,34.4,6600000
300929882,20.6,6600000
292147309,30.0,6600000
297086326,32.2,6600000
299009289,16.2,6600000
300654163,36.6,6600000
299709724,22.0,6600000
300121399,36.64,6600000
295685444,20.0,6609260
299249033,43.6,6700000
297665782,29.5,6688500
298225520,26.0,6700000
299989614,34.0,6700000
295334170,36.0,6699999
301927966,27.0,6650000
286148739,35.4,6700000
296475414,19.0,6700000
301224161,38.1,6700000
301166044,35.1,6700000
295180835,20.0,6700000
265206637,42.0,6700000
292352905,34.0,6650000
301852194,28.6,6749999
301307885,30.0,6660000
293249586,30.0,6750000
300302065,21.0,6750000
297902607,30.6,6800000
299556217,33.9,6800000
294762626,24.0,6850000
300212234,58.8,6800000
301737184,25.0,6800000
294542761,10.2,6890000
284489277,20.9,6895000
300660400,28.6,6800000
299070616,30.0,6800000
292686010,42.0,6800000
291968595,42.0,6850000
292898468,44.9,6899000
293259852,32.0,6800000
299185625,28.0,6800000
301860926,37.0,6850000
294971554,25.1,6899000
299633102,35.2,6900000
301750636,19.2,6900000
299501100,15.8,6900000
301670086,53.9,6900000
298881008,28.8,6900000
299468385,33.8,6990000
296418700,14.6,6990000
294544035,10.9,6990000
296475420,20.0,6990000
301037762,44.0,10000000
301521883,57.0,10400000
301119738,53.0,9200000
301310331,43.0,13700000
296564566,44.3,5600000
298979500,43.2,6600000
272186797,46.5,21900000
301149472,40.0,15999000
300102336,40.0,14400000
301857419,40.0,14970000
301877924,48.0,17990000
301314063,38.8,14400000
301679038,54.6,11800000
299929535,56.0,18250000
300346058,55.0,17690000
301341551,60.0,14500000
300948777,48.0,18250000
301296596,52.0,16400000
301851731,44.2,11000000
298966070,44.4,12000000
301044605,75.0,28000000
297674017,39.4,15100000
298273966,68.85,10000000
300789381,64.5,20990000
295092936,38.4,10150000
300048777,45.2,11250000
301314243,42.2,15970000
296563496,58.2,21300000
301652063,35.0,11950000
298255599,43.0,12620000
298841043,46.6,14900000
299518128,56.3,18990000
301640853,56.0,25000000
301235109,51.0,15190000
300313132,53.0,13850000
300964449,38.4,14999000
301388065,55.8,17000000
300962495,41.6,15000000
301902031,44.0,10700000
296801651,44.7,14190000
298752564,57.8,16500000
298487950,54.5,20000000
251412268,56.0,16000000
300590078,66.0,27000000
290537372,48.7,10200000
300967746,40.0,15999000
301461492,81.0,13990000
299963315,56.7,23250000
301168955,44.8,27500000
301129671,46.0,14450000
301893937,50.0,13500000
299432509,78.4,20500000
301614406,42.3,19990000
300424388,44.8,13500000
288702404,68.0,20700000
297839099,61.4,28000000
301578945,44.8,12200000
301454091,45.0,16800000
301833403,43.5,15800000
301970309,47.0,14500000
299617369,78.7,21990000
301632137,44.3,14800000
300591352,59.7,25000000
300479650,45.3,25000000
301792389,44.3,14200000
301378085,45.4,14700000
300106228,56.8,19290000
301255457,47.6,13500000
300142098,54.0,26500000
298110261,47.9,12300000
300790194,79.6,29500000
300622649,57.8,20500000
300445763,36.6,10200000
301436442,45.3,15500000
299856718,52.0,14825000
301259458,36.0,16790000
301297839,46.0,17150000
300830150,48.5,15000000
297175985,42.0,13400000
301803857,45.1,18300000
