author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/293313393/,Москва,sale,flat,2,30,3,90.8,-1,0,35800000,Богородское,Погонный проезд,3ак2,Белокаменная,Лосиный остров
REPLACE,real_estate_agent,https://www.cian.ru/sale/flat/296391003/,Москва,sale,flat,2,11,3,84.8,-1,0,53000000,Раменки,Мичуринский проспект,5,Ломоносовский проспект,Квартал Шуваловский
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/301379040/,Москва,sale,flat,8,36,3,72.0,-1,0,45600000,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,Сердце Столицы
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/300661643/,Москва,sale,flat,20,39,3,86.5,-1,0,32900000,Раменки, Лобачевского,120к1,Аминьевская,Крылья
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/301784526/,Москва,sale,flat,4,6,3,106.0,-1,0,98000000,Арбат, Арбат,15/43,Арбатская,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/292980150/,Москва,sale,flat,9,18,3,85.2,-1,0,78000000,Донской, Вавилова,2/1,Ленинский проспект,Байконур
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/300116271/,Москва,sale,flat,5,11,3,62.3,-1,0,34300000,Басманный, Казакова,7,Курская,KAZAKOV Grand Loft
MERSI,real_estate_agent,https://www.cian.ru/sale/flat/301081889/,Москва,sale,flat,16,22,3,96.9,-1,0,39000000,Кунцево,Молодогвардейская ,2К1,Кунцевская,
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/297255750/,Москва,sale,flat,32,33,3,69.0,-1,0,27900000,Кунцево, Академика Павлова,56к1,Крылатское,Академика Павлова
BERI,real_estate_agent,https://www.cian.ru/sale/flat/298863230/,Москва,sale,flat,7,9,3,80.1,-1,0,62290000,Тверской,Тверская ,15,Пушкинская,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301906282/,Москва,sale,flat,10,14,3,146.0,-1,0,175000000,Хамовники,2-я Фрунзенская ,12,Фрунзенская,Пять Звезд
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300005946/,Москва,sale,flat,5,6,3,124.0,-1,0,66890000,Тверской, Малая Дмитровка,23/15С2,Пушкинская,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300006000/,Москва,sale,flat,5,9,3,100.0,-1,0,51000000,Донской,Ленинский проспект,12,Шаболовская,
Dream Realty,real_estate_agent,https://www.cian.ru/sale/flat/298879854/,Москва,sale,flat,1,11,3,87.6,-1,0,25400000,Алексеевский, Павла Корчагина,13,ВДНХ,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300006309/,Москва,sale,flat,8,8,3,68.8,-1,0,78450000,Тверской,Благовещенский переулок,5,Маяковская,
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/295093036/,Москва,sale,flat,26,35,3,70.2,-1,0,29950000,Останкинский, Годовикова,11к4,Алексеевская,iLove
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300023886/,Москва,sale,flat,4,7,3,108.0,-1,0,73900000,Тверской,Садовая-Самотечная ,4А,Цветной бульвар,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/298372126/,Москва,sale,flat,12,14,3,124.0,-1,0,115000000,Даниловский,набережная Марка Шагала,1к2,ЗИЛ,ЗИЛАРТ
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300539712/,Москва,sale,flat,2,7,3,90.0,-1,0,80000000,Пресненский,Большой Козихинский переулок,19/6,Пушкинская,
REPLACE,real_estate_agent,https://www.cian.ru/sale/flat/301218502/,Москва,sale,flat,6,20,3,92.0,-1,0,114000000,Пресненский,Мантулинская ,9к3,Деловой центр,City Park
Дельта,real_estate_agent,https://www.cian.ru/sale/flat/299964126/,Москва,sale,flat,13,14,3,79.0,-1,0,28250000,Текстильщики, Чистова,16к2,Волжская,LIFE-Волжская
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/299557531/,Москва,sale,flat,36,53,3,82.5,-1,0,38000000,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение,Wellton Towers
MOD estate,real_estate_agent,https://www.cian.ru/sale/flat/299067800/,Москва,sale,flat,9,12,3,102.2,-1,0,130000000,Раменки,проспект Генерала Дорохова,39к1Е,Минская,Собрание клубных домов West Garden
Estes,real_estate_agent,https://www.cian.ru/sale/flat/301153041/,Москва,sale,flat,19,24,3,80.5,-1,0,25000000,Метрогородок,Тагильская ,4А,Бульвар Рокоссовского,Сиреневый парк
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/301206268/,Москва,sale,flat,2,8,3,92.0,-1,0,63800000,Хамовники,переулок Сивцев Вражек,33,Смоленская,
Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/300023889/,Москва,sale,flat,3,3,3,87.7,-1,0,84600000,Мещанский, Сретенка,9,Сретенский бульвар,
Сергей Жуков,realtor,https://www.cian.ru/sale/flat/301971279/,Москва,sale,flat,10,22,3,70.6,-1,0,25500000,Текстильщики,1-й Грайвороновский проезд,1,Текстильщики,Грани
